"","edges","nodematch.Birthplace","nodematch.Prison","absdiff.Age"
"edges",0.0166515250278033,-0.00692391172138091,-0.00849704907152256,-0.0022649390433703
"nodematch.Birthplace",-0.00692391172138091,0.0185391498270906,0.000424782502106034,0.000180370926907924
"nodematch.Prison",-0.00849704907152256,0.000424782502106034,0.0165248600544536,6.54503683977635e-06
"absdiff.Age",-0.0022649390433703,0.000180370926907924,6.54503683977635e-06,0.000844055466315181
